id,scientificName,commonName,classification,etymology,environment,depthRange,usualRange,distributionRangeName,distributionRangeCoordinates,distributionDescription,sizeRange,maxLength,commonLength,maxWeight,maxAge,biologyInfo,lifeAndMateInfo,redListStatus,dorsalSpines,dorsalSoftRays,analSpines,analSoftRays,vertebrae,shortDescription,threatToHumans,preferredTemperatureMin,preferredTemperatureMean,preferredTemperatureMax,cellsBasedOn,phylogeneticDiversity,bayesianLengthWeightA,bayesianLengthWeightB,resilience,priorR,vulnerability,priceCategory,source
607,Heteranomia squamula,prickly jingle,Bivalvia > Ostreoida > Anomiidae,,Benthic,0--640,,Subtropical,,North America.  Mediterranean Sea:  Greece.,?--?,1.5,,,,"Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,0.5,6.3,14.6,287,,,,,,,Unknown,ca
608,Heteromastus filiformis,,Polychaeta > Not assigned > Capitellidae,,"Benthic, brackish",0--4,,Tropical,,"Indo-Pacific, Atlantic Ocean, Mediterranean and the Arctic.",?--?,10,,,2,"Length based on occurrence record; to be replaced with better reference. Inhabits upper layer of muddy-sandy substrate in sheltered areas .  Found along the coastal zone, preferentially in fine-grained to muddy sediment .  Mobile burrowing detritivore .  Deposit feeders; burrows up to 15 cm below and then everts its papillose sac-like pharynx during feeding .  It is known as a head-down/subsurface deposit-feeder (Refs. 96214, 96292, 96501). Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults .","Members of the class Polychaeta are mostly gonochoric (sexual).  Mating:  Females produce a pheromone attracting and signalling the males to shed sperm which in turn stimulates females to shed eggs, this behavior is known as swarming.  Gametes are spawned through the metanephridia or body wall rupturing (termed as ""epitoky"", wherein a pelagic, reproductive individual, ""epitoke"", is formed from a benthic, nonreproductive individual, ""atoke"").  After fertilization, most eggs become planktonic; although some are retained in the worm tubes or burrowed in jelly masses attached to the tubes (egg brooders).  Life Cycle:  Eggs develop into trocophore larva, which later metamorph into juvenile stage (body lengthened), and later develop into adults.",Not Evaluated,,,,,,,,0.8,5.2,11.2,971,,,,,,Low vulnerability (10 of 100),Unknown,ca
609,Heteromysis norvegica,,Malacostraca > Mysida > Mysidae,,Pelagic,0--400,,Subtropical,,Atlantic and the Mediterranean.,?--?,,,,,"This is a hypoplanktonic species found in polyhaline environments; particularly found on shell gravel or coarse shell sand bottoms, among seaweeds, large shells and debris.  This species shelters in shells or vegetation during daytime and is found in pelagic habitats during night time . Members of the order Mysida are gonochoric.  Mating behavior:  Male inserts the penis into the marsupium and releases sperm; eggs are then released from the oviducts into the marsupium where fertilization occurs.  Life cycle:  Eggs are brooded in the marsupium and later hatch into miniature adults, no postlarva .","Members of the order Mysida are gonochoric.  Mating behavior:  Male inserts the penis into the marsupium and releases sperm; eggs are then released from the oviducts into the marsupium where fertilization occurs.  Life cycle:  Eggs are brooded in the marsupium and later hatch into miniature adults, no postlarva.",Not Evaluated,,,,,,,Harmless,2.7,9,13.8,624,,,,,,,,ca
610,Heteroteuthis dispar,odd bobtail,Cephalopoda > Sepiolida > Sepiolidae,,Benthopelagic,200--3000,,Tropical,"52N--  35S, 85W--  46E","Atlantic, Mediterranean, Western Indian Ocean and the Pacific.",?--?,2.5,,,,"Mesopelagic or benthopelagic, but also found on the bottom at depth range to 1588 m,  paralarvae found in mesopelagic and bathypelagic zones, far from coasts, with bottom depth ranging between 1,500 and 3,000 m.  Adults live in groups in lower epipelagic and mesopelagic zones, common at depths between 200 and 300 m.  Often found in areas inhabited by populations of red shrimps.  Represents a sizeable component of the diet of several top predators, including dolphins, sharks, swordfish and tunas.  Caught by pelagic nets and shrimp trawlers but of no commercial interest due to the low quantities available to fisheries . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Data deficient (DD),,,,,,,,3.7,7.1,14,746,,,,,,Low vulnerability (10 of 100),Unknown,ca
611,Heteroxenotrichula squamosa,,Not assigned > Chaetonotoidea > Xenotrichulidae,,Benthic,2--4,,Temperate,,Atlantic Ocean and the Mediterranean.  Climate:  Subtropical and Cosmopolitan.,?--?,0,,,,Found in sem-ifine sand in both the littoral and shallow sublittoral zones .,,Not Evaluated,,,,,,,,9.5,19.1,26.9,1149,,,,,,Low vulnerability (10 of 100),Unknown,ca
612,Hexanchus griseus,Bluntnose sixgill shark,Elasmobranchii (sharks and rays) >  Hexanchiformes  (Frill and cow sharks) >  Hexanchidae  (Cow sharks),"Hexanchus: Greek, exa = six + Gree, agcho, narrow ;griseus: From the Latin 'griseus' meaning gray .","Marine, bathydemersal, oceanodromous ",1--2500,180--1100,Subtropical,"65N--  48S, 180W--  180E","Circumglobal:  In tropical and temperate waters; .  Western Atlantic:  North Carolina to Florida (USA) and northern Gulf of Mexico to northern Argentina.  Eastern Atlantic:  Iceland and Norway to Namibia, including the Mediterranean.  Indian Ocean:  Madagascar, Mozambique, South Africa, and Arabian Sea (Ref.85183).  Western Pacific:  eastern Japan to New Zealand and Hawaii.  Eastern Pacific:  Aleutian Islands, Alaska to Baja California, Mexico; also Chile .  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. , Ref. ).",400-- 482,482,300,590,,"Depth range reported at 0m-2000m. A deepwater species of the outer continental and insular shelves and upper slopes.  Near bottom, occasionally pelagic, adults usually below 91 m.  Juveniles may be found close inshore.  Found on the bottom by day, moving to the surface at night to feed, and where it may take longlines set for other species.  Depth distribution related to growth and temperature, with juveniles having most shallow records and from colder, poleward regions.  Feeds on a wide range of marine organisms, including other sharks, rays, chimaeras, bony fish, squids, crabs, shrimps, carrion, and even seals.  Ovoviviparous, with 22 to 108 pups in a litter.  Marketed fresh, frozen, or dried salted; also utilized as a source of oil and fishmeal.  Not known to have attacked people without provocation.  Give birth to almost 100 young.","Ovoviviparous, litters very large, 22 to 108. Size at birth 60-75 cm. Distinct pairing with embrace.",Near Threatened (NT) ; Date assessed:  01 October 2005,0,0,0,0,," A heavily-bodied, broad-headed sixgill shark, mouth ventral with 6 rows of lower, bladelike, comb-shaped teeth on each side  Snout broadly rounded, body fusiform  Anal fin smaller than dorsal fin  Brown or grey above, paler below, with a light stripe along side  Fins with white edges  Live specimens with fluorescent green eyes  Six gill slits are very long.",Poisonous to eat (Ref.  4690 ),3.6,8.1,15.7,3800,0.8281,0.0049,3.11,"Low, minimum population doubling time 4.5 - 14 years (Fec= 22-108).",,Very high vulnerability (84 of 100) .,Unknown,de
613,Hexanchus nakamurai,Bigeyed sixgill shark,Elasmobranchii (sharks and rays) >  Hexanchiformes  (Frill and cow sharks) >  Hexanchidae  (Cow sharks),"Hexanchus: Greek, exa = six + Gree, agcho, narrow ;nakamurai: Named for Dr. Hiroshi Nakamura.","Marine, bathydemersal",0--600,90--600,Deep-water,"49N--  35S, 99W--  161E","Wide-ranging, patchily distributed species, in warm temperate and tropical seas .  Western Central Atlantic:  Mexico , off Bahamas, northern Cuba, Nicaragua and Costa Rica.  Eastern Atlantic:  France to Morocco, including Mediterranean Sea ; possibly Cte d'Ivoire and Nigeria.  Indian Ocean:  off eastern and southern Africa , Aldabra Island (India); Western Australia .  Western Pacific:  Japan, Taiwan, Philippines, New Caledonia and eastern Australia .",142-- 178,180,120,,,"Found on continental and insular shelves and upper slopes, from 90 to 600 m depth, usually on or near bottom, may move to the surface at night .  Probably feeds on bony fish and crustaceans.  Ovoviviparous, with 13 young in a litter.  Size at birth measures to about 40-43 cm TL. Not dangerous to people as far as is known. Utilized for its fins, meat and liver oil but of little value due to its relatively small size (Ref.58048).","Ovoviviparous, with number of young 13 in one litter. Length at birth about 43 cm. Distinct pairing with embrace.",Data deficient (DD) ; Date assessed:  01 December 2008,,,,,155," Vertebrae : 155 This slender-bodied shark is readily distinguished from its larger congener ( H griseus ) by having a narrower head, relatively larger eyes, 5 large lower comb-shaped anterolateral teeth, a long slender dorsal-caudal space, with distance from the dorsal origin to the upper caudal origin being at least twice the length of the dorsal fin base; with the upper and lower caudal postventral margins forming a strong arch  In life, Color of dorsum a uniform pale brown without a light line extending along the lateral body trunk, the trailing fin edges are white in some specimens and the ventral surface is lighter.",Harmless (Ref.  247 ),8.1,14.4,23.9,1233,0.8281,,,"Very Low, minimum population doubling time more than 14 years (Fec = 13).",,Very high vulnerability (81 of 100) .,Unknown,de
614,Hexaplex trunculus,banded dye-murex,Gastropoda > Neogastropoda > Muricidae,,Benthic,1--100,,Subtropical,"49N--  27N, 29W--  37E","Eastern Atlantic and Mediterranean:  from France to Spain, Portugal, Morocco, Madeira Island and Canary Islands, including the Mediterranean.",?--?,,,,,"Intertidal to a depth of 80 m.  Found in a lagoon .  Inhabits rocky, sandy-mud and mud substrata .  Also found on seagrass .  Opportunistic feeder, exhibiting both carnivory and scavenging.  Feeds on a variety of bivalves, including gastropods, barnacles, tunicates, bryozoans, carrion and its conspecifics.  Employs drilling and chipping patterns on certain bivalves . Members of the order Neogastropoda are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults .",Members of the order Neogastropoda are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults.,Not Evaluated,,,,,,,Harmless,14.5,18.7,21.5,202,,,,,,,,ca
615,Hiatella arctica,Arctic hiatella,Bivalvia > Myoida > Hiatellidae,,"Benthic, brackish",0--800,,Temperate,,Circumglobal.  Temperate to polar.,?--?,4.5,,,,"Benthic; found on sand and rubble  in reefs .  Inhabits the intertidal zone, attached by byssus on algal holdfasts, mussel mats and in empty burrows of rock boring bivalves .  Inhabits hard bottoms .  Free-living .  Specimens were taken from logs washed up on the beaches .  Suspension feeder . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,0.9,6.1,16.8,2303,,,,,,,Unknown,ca
616,Hippocampus guttulatus Cuvier  1829,Long-snouted seahorse,Actinopterygii (ray-finned fishes) >  Syngnathiformes  (Pipefishes and seahorses) >  Syngnathidae  (Pipefishes and seahorses) > Hippocampinae,"Hippocampus: Greek, ippos = horse + Greek,kampe = curvature .More on author: Cuvier.","Marine, brackish, demersal, non-migratory",1--20,,Temperate,"63N--  20N, 32W--  36E","Eastern Atlantic: British Isles and the Netherlands to Morocco, Canary Islands , Madeira, and the Azores, including the Mediterranean . Although morphologically smaller than specimens from other areas, recent genetic data confirms that specimens from the Black Sea are in fact long-snouted seahorses . International trade is monitored through a licensing system ( II, since 5.15.04) and a minimum size of 10 cm applies. Listed in Appendix II (Mediterranean, as ) of the Bern Convention (2002) and in Appendix II (as ) at  (2009).",?--?,21.5,,,,"Commonly referred to as  Hippocampus ramulosus . Occurs mostly in shallow inshore waters including littoral lagoons among algae and eel grass ( Zostera  or  Posidonia ), or among rocks and in gravel bottoms. Juveniles were observed to recruit to vegetated habitats at 8.8- 10.4 cm length. Adults (from 12.5 cm length) appear to maintain very restricted home ranges (19.9  12.4 m2) over multiple years making limited daily movements.. May move to deeper waters during winter. Like other seahorse species, adult dispersals over large distances is probably caused by strong wave action and currents during storms or when it anchors itself to floating debris. Is thought to live for 4-7 years. Because of its early age at maturity, rapid growth rate, short generation time and multiple breeding cycles during each spawning season, resilience is thought to be high. However, in tropical areas where seagrass beds are regularly exploited for other species of seahorses for the aquarium trade, traditional medicine, etc., populations have been quickly eradicated. Can be maintained in an aquarium environment if trained to feed on dead animals. Length type OT refers to height (= TL - head length), Ref. 30915.","Ovoviviparous. During the mating season, mature males and females have been observed to change hue, i.e., become brighter, when courting (Refs. 52034, 89259). Female deposits her eggs on the brood pouch of the male which is found under the tail. Gestation usually lasts 21 days and brood sizes up to 581 have been reported (Refs.  53712 ,  79902 ,  89322 ). Young are expelled from the pouch measuring 1.5 cm after 3 weeks of incubation. Size at birth ranges from 0.6-1.4 cm length. Newly hatched young are planktonic for at least 8 weeks.",Data deficient (DD) ; Date assessed:  05 December 2016,0,17--20,,,," Description (based on 46 specimens):  Adult height:  85-180cm  Rings:  11 + 37-39 (35-40)  Snout length:  23-28 in head length  Dorsal fin rays:  19-20 (17-20) covering 2+1 rings  Pectoral fin rays:  16-18  Coronet:  small but distinct, with 5 rounded knobs or blunt points; horizontal plate in front of coronet as high as coronet itself, with a more or less prominent spine at its front edge; coronet not joined smoothly to neck  Spines:  medium to well-developed with blunt tips  Other distinctive characters:  prominent rounded eye spines; often with a mane of thick skin fronds on neck and head  Color pattern: from dark green to brown (Refs 52034, 89230); prominent white spots on body (often with a dark ring around them) which tend to coalesce into horizontal wavy lines103; may be variously mottled or with pale saddles across dorsolateral surface.",Harmless,12.3,18.6,21,619,0.5,0.00309,2.94,"Medium, minimum population doubling time 1.4 - 4.4 years (Fec=581).",,Low vulnerability (24 of 100) .,Unknown,de
617,Hippocampus hippocampus,Short snouted seahorse,Actinopterygii (ray-finned fishes) >  Syngnathiformes  (Pipefishes and seahorses) >  Syngnathidae  (Pipefishes and seahorses) > Hippocampinae,"Hippocampus: Greek, ippos = horse + Greek,kampe = curvature .","Marine, demersal, non-migratory",?--60,,Subtropical,"52N--  2N, 32W--  42E","Eastern Atlantic: British Isles and Wadden Sea southward to the Gulf of Guinea, the Azores , Canary Islands (89255) and along the African coast to Guinea. Also in the Mediterranean (89253). International trade is monitored through a licensing system ( II, since 5.15.04) and a minimum size of 10 cm applies. Listed in Appendix II (Mediterranean) of the Bern Convention (2002) and in Appendix II (as ) at CITES (2009).",?--?,15,,,,"Inhabits dense, complex habitats as well as patchy, relatively open and sparse habitats of coastal areas. Found on soft bottoms amongst rocks and algae, on sparsely vegetated areas, and in coastal lagoons with strong oceanic influences (Refs.  52034 , 89230). Mimics the green or yellow coloration of plants allowing it to hide among the vegetation. This ability likely plays a role in seahorse feeding strategy and in predator avoidance. Makes limited daily movements within very restricted home ranges (0.7-18.1 m2) (Refs.  52034 , 89256). May over-winter in deeper water.. Adult dispersal over large distances is probably caused by strong wave action during storms or when it anchors itself to floating debris.Is thought to live for 3-5 years. Because of its short generation time and multiple breeding cycles during each spawning season, resilience is thought to be high. However, in tropical areas where seagrass beds are regularly exploited for other species of seahorses for the aquarium trade, traditional medicine, etc., populations have been quickly eradicated. Feeds on small prey and organic debris. Has been reared in captivity.","Ovoviviparous, with the female depositing eggs into the male brood pouch. During the mating season, mature males and females have been observed to change hue, i.e., become brighter, when greeting, courting, or mating. Newly hatched young are thought to have a planktonic stage that lasts at least eight weeks (Refs. 47822, 52034).",Data deficient (DD) ; Date assessed:  15 March 2017,0,16--19,,,," Description (based on 35 specimens): Adult height: 70-130cm Rings: 11 + 37 (35-38) Snout length: 30 (28-34) in head length Dorsal fin rays: 17 (16-19) covering 2+1 rings Pectoral fin rays: 14 (13-15) Coronet: narrow, ridge-like and joined smoothly to nape of neck, or wedge-shaped (front narrow, back high and broad); some specimens with very large angular coronet (especially specimens from West Africa) Spines: low, very low in adults Other distinctive characters: very short snout (usually less than 1/3 head length) that is slightly upward-bent; prominent eye spine Color pattern: mottled brown to yellow, to maroon and rust (Refs 52034, 89230); also orange, purple or black; sometimes with tiny white dots, but these do not coalesce into thick horizontal wavy lines as in  H guttulatus .",Harmless,10.9,17.8,26.5,304,0.5,0.00269,2.96,"High, minimum population doubling time less than 15 months (tm=0.3-0.4).",,Low vulnerability (12 of 100) .,Unknown,de
618,Hipponix conicus,conic cup-and-saucer,Gastropoda > Neotaenioglossa > Hipponicidae,,Benthic,5--35,,Tropical,,Indo-Pacific and Atlantic Ocean:  Mascarene Islands and Europe.,?--?,,,,,"Found at depths of 5 to 35 m, attached to shells . Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults .",Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults.,Not Evaluated,,,,,,,Harmless,20.3,27.3,28.8,354,,,,,,,,ca
619,Hippopodius hippopus,,Hydrozoa > Siphonophorae > Hippopodiidae,,Pelagic,0--200,,Subtropical,,"Pacific Ocean, Atlantic Ocean and the Mediterranean.  Tropical and subtropical.",?--?,1.6,,,,This is an epipelagic species found in the water column . Species listed only in medusoid stage .,"Species listed only in medusoid stage (Ref. 1663, p. 30).",Not Evaluated,,,,,,,,7.8,24.8,28.3,1741,,,,,,Low vulnerability (10 of 100),Unknown,ca
620,Hippospongia communis,honey comb,Demospongiae > Dictyoceratida > Spongiidae,,Sessile,5--80,,Subtropical,,Mediterranean.,,,,,,"Importance:  It is the principal species currently exploited.  The essence of the production comes from Tunisia.  It is used for the domestic uses, the toilet and certain industries . Common between 5 and 30 m of depth, would go down up to 80 m to Libya . Members of the class Demospongiae are hermaphroditic.  Life cycle:  The zygote develops into parenchymella larva (free-swimming) before settling down on a substrate where it grows into a young sponge .",Members of the class Demospongiae are hermaphroditic.  Life cycle:  The zygote develops into parenchymella larva (free-swimming) before settling down on a substrate where it grows into a young sponge.,Not Evaluated,,,,,,"Massive sponge; on surface equipped with conules very irregularly dispersed  A thin and generally smooth ectosome covers the surface gaps  Sponge:  traversed great gaps mandriformes  Rare primary fibers:  00060 to 001 cm diameter; formed by the anastomoses of several fibers at their end in the conules; and containing foreign bodies Secondary fibers:  00025 to 0003 cm diameter  Coloring:   darkish gray with yellowish on the surface, often brown white orange inside (Ref 363).",Harmless,15.2,18.8,21.6,158,,,,,,Low vulnerability (20 of 100),Unknown,ca
621,Hirundichthys rondeletii,Black wing flyingfish,Actinopterygii (ray-finned fishes) >  Beloniformes  (Needle fishes) >  Exocoetidae  (Flyingfishes),"Hirundichthys: latin, hirundo = swift; 1300 + Greek, ichthys = fish .","Marine, pelagic-oceanic, oceanodromous ",0--?,,Subtropical,43N--  34S,"Subtropical waters of all oceans.  Eastern Atlantic:  occasional to Spain and English Channel, western Mediterranean (a separate population migrates to the southeastern part in winter), Portugal to Mauritania and from south of Namibia; also off the Cape, South Africa .  Western Atlantic:  Massachusetts, USA and Bermuda to southern Brazil .  Northwest Atlantic:  Canada .",?--?,30,20,,,Inhabits oceanic surface waters.  Capable of leaping out of the water and gliding for considerable distances above the surface.  Feeds on zooplankton.  Eggs with bunch of filaments opposed by a single filament on opposite pole.  Reported to have no importance to fisheries.,,Least Concern (LC) ; Date assessed:  01 May 2008,0,10--12,0,10--13,45--47," This species is distinguished by the following characters:  elongated body is nearly rectangular in cross-section, almost flat ventrally, its depth 62 to 79 times in standard length (SL); 45-47 vertebrae; 25-30 predorsal scales; scales in transverse row 6 to 75, usually 65; the head 42-52 times in SL: eye 31-33 times in head; subequal jaws; jaw teeth conspicuous, conical; no palatine teeth; gill rakers on first arch 25-31; dorsal fin low, with 10-12 rays; anal fin with 10-13 rays, originating slightly before, or 1-2 rays behind dorsal-fin origin; pectoral fins 13-14 times in SL and with 16-18 rays, first 2 rays unbranched; pelvic fins 28-34 times in SL, inserted slightly nearer to posterior margin of opercle than origin of caudal fin base: juveniles without barbel  Colour of body dark, iridescent blue above, silvery white below; dorsal and caudal fins greyish, other fins hyaline; pectoral fins black without unpigmented cross-band and with a narrow light outer margin; pelvic fins usually without black spot; juveniles elongate, paired fins black.",Harmless,15.2,24.5,27.8,1598,0.5002,0.00417,3.12,"High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).",,Low vulnerability (17 of 100) .,Medium,de
622,Histioteuthis bonnellii,umbrella squid,Cephalopoda > Teuthida > Histioteuthidae,,Pelagic,1--2000,,Tropical,"58N--  48S, 72W--  96E","Indo-Pacific, Atlantic Ocean and the Mediterranean Sea.",?--?,33,,,,"Caught by nets . Oceanic and elusive.  Has little interaction with the bottom .  Mainly feeds on osteichthyes, followed by crustaceans (natantian), and occasionally on cephalopods.  Bases their diet on pelagic nictemeral migrators . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Least Concern (LC),,,,,,,,4.2,13,14.3,336,,,,,,Low vulnerability (23 of 100),Medium,ca
623,Histioteuthis elongata,elongate jewel squid,Cephalopoda > Teuthida > Histioteuthidae,,Pelagic,500--1000,,Temperate,"44N--  33N, 75W--  12E",Northern Atlantic and the Mediterranean.,?--?,20,,,,"Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.",Not Evaluated,,,,,,,Harmless,13,13.1,13.7,10,,,,,,Low vulnerability (10 of 100),Medium,ca
624,Histioteuthis reversa,elongate jewell squid,Cephalopoda > Teuthida > Histioteuthidae,,Pelagic,0--4332,,Temperate,"53N--  22S, 82W--  37E","Atlantic, Gulf of Mexico, the Caribbean and the Mediterranean Sea.",?--?,,,,,"Mainly feeds on osteichthyes (myctophids), followed by crustaceans (natantian), and occasionally on cephalopods.  Bases their diet on pelagic nictemeral migrators . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Least Concern (LC),,,,,,,,4.8,13.2,13.9,271,,,,,,,Medium,ca
625,Holothuria forskali,black sea cucumber,Holothuroidea > Aspidochirotida > Holothuriidae,,Benthic,1--125,,Subtropical,,Atlantic and the Mediterranean Sea.,,,,,,"Maximum size:  25 cm.  Species presents at all depths.  In the event of stimulus by contact, defends itself by expelling its tubes of Vat.  Very adherent, they discourage frequently inclinations of the possible attackers or predatory.  When the stimulus persist, the animal can go until excreting the whole of its digestive tract.  The tubes of Vat and the bodies assigned to digestion are regenerated in the span of a few weeks if the conditions are favorable . habitat:  Hard funds of primary education types and secondary, more rarely in herbarium; very commune in the Mediterranean basin.  Nourishes various organic fragments, (charging) literally the elements of the ground in its oral opening; located at the back of the body, using its tentacles oral of flattened form.  The animal sorts and introduces the edible organic substances, and rejects the elements not metabolized, particularly sand, in the form of lengthened excrements . Members of the class Holothuroidea are gonochoric and have only one gonad.  Spawning and fertilization are both external and some exhibit brooding.  Life cycle:  Embryos develop into planktotrophic larvae (auricularia) then into doliolaria (barrel-shaped stage) which later metamorphose into juvenile sea cucumbers .",Members of the class Holothuroidea are gonochoric and have only one gonad.  Spawning and fertilization are both external and some exhibit brooding.  Life cycle:  Embryos develop into planktotrophic larvae (auricularia) then into doliolaria (barrel-shaped stage) which later metamorphose into juvenile sea cucumbers., Least Concern (LC),,,,,,"Maximum size: 25 cm  Body:   with more or less round cross section; ventral face with 3 lines with parapodes with suction cup  Tegument:  more fragile constellated with multiple papillae Color:  Brown; papillae, in a variable number, being of beige or white color, at always brown end  The animal is equipped with tubes of Vat which it expels with the least stimulus (Ref 358).",,14.1,17.9,21,180,,,,,,Low vulnerability (15 of 100),Unknown,ca
626,Holothuria impatiens,impatient sea cucumber,Holothuroidea > Aspidochirotida > Holothuriidae,,Reef-associated,0--30,,Tropical,,Cosmopolitan.,?--?,30,,,,"During the day, this species lives under coralline rubble and in crevices on reef flats and forereef slopes ; and is often found in sand and grassy areas .  At night it feeds by extending its anterior end from the crevice .  Deposit feeder (Refs. 108117, 116259). Spawning occurs in spring .",Spawning occurs in spring., Data deficient (DD),,,,,,,,22.9,27.9,29.2,4730,,,,,,,Unknown,ca
627,Holothuria poli,white spot cucumber,Holothuroidea > Aspidochirotida > Holothuriidae,,Benthic,0--250,,Subtropical,,Atlantic and the Mediterranean Sea:  Algeria.,,,,,,"Maximum size: 20 cm.  Species presents the small funds until largest the depths, but rare. Habitat:  Hard funds and herbaria.  Biology: this species is nourished, using its tentacles oral flattened, of various organic fragments. It (charges) literally elements of the ground in its oral opening, located at the back of the body.  The animal sorts the edible organic substances, and rejects the elements not metabolized such as sand, in the form of roved excrements . Members of the class Holothuroidea are gonochoric and have only one gonad.  Spawning and fertilization are both external and some exhibit brooding.  Life cycle:  Embryos develop into planktotrophic larvae (auricularia) then into doliolaria (barrel-shaped stage) which later metamorphose into juvenile sea cucumbers .",Members of the class Holothuroidea are gonochoric and have only one gonad.  Spawning and fertilization are both external and some exhibit brooding.  Life cycle:  Embryos develop into planktotrophic larvae (auricularia) then into doliolaria (barrel-shaped stage) which later metamorphose into juvenile sea cucumbers., Least Concern (LC),,,,,,Maximum size: 20 cm  Body:   with more or less round cross section; is provided with the ventral face with 3 lines with podia with suction cups  Tegument:  constellated with multiple papillae  Color:  supported black; papillae being very of an immaculate white  Absence of tubes of Vat (Ref 358).,,13.3,14.9,18.4,106,,,,,,Low vulnerability (10 of 100),Unknown,ca
